pool	rolls	numItems	totalWeight
BakeryKitchenFreezer	4	6	90.000
BakeryKitchenFridge	4	18	184.000
BakeryKitchenStorage	4	14	108.001
BakeryKitchenStove	4	4	16.000
BakeryKitchenTrays	4	19	132.001
BakeryMisc	4	16	88.000
BakeryPie	4	7	70.000
BandMerchClothes	4	9	90.000
BandMerchShelves	4	27	172.000
BandPracticeClothing	4	37	208.500
BandPracticeFridge	4	35	128.100
BandPracticeInstruments	4	18	160.000
BankDeposit	4	46	595.700
BarCounterGlasses	4	8	150.000
BarCounterLiquor	4	36	103.100
BarCounterMisc	4	29	159.110
BarCounterWeapon	4	41	213.100
BarCrateDarts	10	5	110.000
BarCratePool	4	4	60.000
BarLaundry	4	4	100.000
BarShelfLiquor	4	27	161.100
BarnTools	4	44	314.490
BaseballLockers	4	33	144.700
BaseballStoreShelves	4	27	173.000
BatFactoryBats	4	5	110.000
BathroomCabinet	4	26	116.600
BathroomCounter	4	47	243.700
BathroomCounterEmpty	1	0	0.000
BathroomCounterMotel	1	7	120.000
BathroomCounterNoMeds	1	0	0.000
BathroomShelf	4	44	215.900
BedroomDresser	4	201	184.604
BedroomDresserChild	4	174	280.871
BedroomDresserClassy	4	175	277.534
BedroomDresserRedneck	4	175	188.123
BedroomSidetable	4	109	190.774
BedroomSidetableChild	4	128	258.263
BedroomSidetableClassy	4	112	252.121
BedroomSidetableRedneck	4	103	177.688
BeerGardenCounter	4	12	208.200
BinBar	4	47	361.100
BinBathroom	4	24	43.710
BinCrepe	4	23	401.400
BinDumpster	4	60	221.000
BinFireStation	4	31	139.900
BinGeneric	4	53	171.000
BinHospital	4	21	220.400
BinJays	4	21	487.400
BinSpiffos	4	19	457.400
BlacksmithLiterature	4	18	67.650
BlacksmithMolds	4	6	120.000
BlacksmithTools	4	19	101.000
BookStoreCounter	4	20	99.500
BookstoreArt	4	8	120.000
BookstoreAutomotive	4	10	66.000
BookstoreBags	4	12	144.000
BookstoreBiography	4	6	90.000
BookstoreBlueCollar	4	51	221.100
BookstoreBooks	4	100	492.000
BookstoreBusiness	4	8	120.000
BookstoreChilds	4	20	274.000
BookstoreCinema	4	9	120.500
BookstoreComputer	4	8	120.000
BookstoreCooking	4	21	102.000
BookstoreCrafts	4	22	98.000
BookstoreCrimeFiction	4	8	120.000
BookstoreFantasySciFi	4	9	130.000
BookstoreFarming	4	29	196.000
BookstoreFashion	4	25	162.000
BookstoreGeneralReference	4	5	120.000
BookstoreHistory	4	11	92.500
BookstoreHobbies	4	18	250.000
BookstoreHorror	4	8	120.000
BookstoreLegal	4	8	120.000
BookstoreLiteraryFiction	4	6	90.000
BookstoreMedical	4	13	150.000
BookstoreMilitaryHistory	4	9	120.500
BookstoreMisc	4	69	306.600
BookstoreMusic	4	8	120.000
BookstoreNewAge	4	7	114.000
BookstoreNonFiction	4	8	120.000
BookstoreOccult	4	8	94.000
BookstoreOutdoors	4	25	186.500
BookstorePersonal	4	6	90.000
BookstorePhilosophy	4	5	110.000
BookstorePolitics	4	6	90.000
BookstoreReligion	4	6	90.000
BookstoreRomance	4	6	90.000
BookstoreSchoolTextbook	4	5	110.000
BookstoreScience	4	11	126.000
BookstoreSports	4	14	171.500
BookstoreStationery	4	32	311.120
BookstoreThriller	4	6	90.000
BookstoreTravel	4	6	90.000
BookstoreWestern	4	6	90.000
BowlingAlleyCounters	4	10	112.000
BowlingAlleyLockers	4	18	132.000
BowlingAlleyPins	4	5	110.000
BowlingAlleyShoes	4	5	110.000
BoxingLockers	4	30	123.700
BoxingMemorabilia	4	10	86.000
BoxingStorageGloves	4	8	120.000
BoxingStorageHelmets	4	8	120.000
BreakRoomCounter	4	35	198.100
BreakRoomShelves	4	31	154.000
BreweryBottles	4	5	64.000
BreweryCans	4	5	64.000
BreweryEmptyBottles	4	5	110.000
BreweryEmptyCans	4	5	110.000
BreweryHops	4	5	110.000
BurgerKitchenButcher	4	17	93.200
BurgerKitchenCutlery	4	9	79.000
BurgerKitchenFreezer	4	6	76.000
BurgerKitchenFridge	4	13	78.000
BurgerKitchenSauce	4	8	60.500
BurglarTools	4	36	224.600
ButcherChicken	4	5	64.000
ButcherChops	4	7	98.000
ButcherFish	4	25	77.600
ButcherFreezer	4	10	102.000
ButcherGround	4	8	120.000
ButcherLiterature	4	9	53.500
ButcherSmoked	4	10	150.000
ButcherSnacks	4	8	120.000
ButcherSpices	4	12	113.000
ButcherTools	4	17	186.000
CabinetFactoryTools	4	36	218.000
CafeCounterMix	4	7	112.000
CafeDiningFridge	4	15	155.000
CafeKitchenCoffee	4	10	208.000
CafeKitchenFridge	4	6	90.000
CafeKitchenMugs	4	5	110.000
CafeKitchenSupplies	4	8	146.000
CafeKitchenTea	4	11	234.000
CafeShelfBooks	4	11	70.000
CafeteriaDrinks	4	13	46.500
CafeteriaFruit	4	14	82.000
CafeteriaKitchenFreezer	4	11	72.000
CafeteriaKitchenFridge	4	16	96.000
CafeteriaKitchenLaundry	4	4	100.000
CafeteriaSandwiches	4	7	74.000
CafeteriaSnacks	4	28	48.000
CafeteriaTrays	4	7	140.000
CameraStoreDisplayCase	4	8	120.000
CameraStoreShelves	4	8	120.000
CampingLockers	4	96	202.820
CampingStoreBackpacks	4	12	47.000
CampingStoreBooks	4	20	128.000
CampingStoreCases	4	9	130.000
CampingStoreClothes	4	35	190.000
CampingStoreGear	4	24	254.000
CampingStoreLegwear	4	11	142.000
CampingStoreLighting	4	15	161.000
CampingStoreSleepingBags	4	9	104.050
CampingStoreTents	4	14	250.000
CampingStoreTools	4	12	133.000
CandyStoreSnacks	4	28	184.000
CarBrakesModern1	4	4	60.000
CarBrakesModern2	4	4	60.000
CarBrakesModern3	4	4	60.000
CarBrakesNormal1	4	4	60.000
CarBrakesNormal2	4	4	60.000
CarBrakesNormal3	4	4	60.000
CarDealerDesk	4	38	535.650
CarDealerFilingCabinet	4	24	413.010
CarLightbars	4	5	70.000
CarMufflerModern1	4	4	60.000
CarMufflerModern2	4	4	60.000
CarMufflerModern3	4	4	60.000
CarMufflerNormal1	4	4	60.000
CarMufflerNormal2	4	4	60.000
CarMufflerNormal3	4	4	60.000
CarSupplyBatteries	4	7	58.000
CarSupplyGasCans	4	5	68.000
CarSupplyGloves	4	3	38.000
CarSupplyLiterature	4	10	72.000
CarSupplyMagazines	4	7	84.000
CarSupplyTools	4	24	273.000
CarSuspensionModern1	4	4	60.000
CarSuspensionModern2	4	4	60.000
CarSuspensionModern3	4	4	60.000
CarSuspensionNormal1	4	4	60.000
CarSuspensionNormal2	4	4	60.000
CarSuspensionNormal3	4	4	60.000
CarTiresModern1	4	4	60.000
CarTiresModern2	4	4	60.000
CarTiresModern3	4	4	60.000
CarTiresNormal1	4	4	60.000
CarTiresNormal2	4	4	60.000
CarTiresNormal3	4	4	60.000
CarWindows1	4	6	80.000
CarWindows2	4	6	80.000
CarWindows3	4	6	80.000
CarnivalPrizes	4	21	85.100
CarpenterOutfit	3	33	158.100
CarpenterTools	3	37	185.175
CarpentryBooks	8	5	30.000
CarvingWorkshopMaterials	4	8	190.000
CarvingWorkshopTools	4	12	260.000
CatfishKitchenButcher	4	17	101.200
CatfishKitchenFreezer	4	7	90.000
CatfishKitchenFridge	4	9	110.000
ChangeroomCounters	4	13	78.000
ChefOutfit	3	19	65.600
ChefTools	3	17	67.500
Chemistry	4	18	116.500
ChineseKitchenBaking	4	17	206.000
ChineseKitchenButcher	4	26	141.200
ChineseKitchenCutlery	4	18	179.000
ChineseKitchenFreezer	4	7	66.000
ChineseKitchenFridge	4	14	108.000
ChineseKitchenSauce	4	10	108.000
ChurchStorageMisc	4	6	170.000
ClassroomDesk	2	52	177.420
ClassroomMisc	4	89	225.361
ClassroomSecondaryDesk	2	47	178.260
ClassroomSecondaryMisc	4	91	253.161
ClassroomSecondaryShelves	4	88	242.161
ClassroomShelves	4	89	246.161
ClockRepairLiterature	4	4	100.000
ClockRepairTools	4	9	120.000
ClockRepairWatches	4	6	65.000
ClosetInstruments	2	134	289.263
ClosetShelfGeneric	2	119	173.273
ClosetSportsEquipment	2	155	407.573
ClothingPoor	4	0	0.000
ClothingRack	4	62	34.610
ClothingStorageAllJackets	4	14	58.100
ClothingStorageAllShirts	4	30	228.000
ClothingStorageFootwear	4	15	122.000
ClothingStorageHeadwear	4	22	144.000
ClothingStorageLegwear	4	19	110.000
ClothingStorageWinter	4	16	136.000
ClothingStoresBoots	4	7	100.000
ClothingStoresDress	4	14	128.000
ClothingStoresEyewear	4	10	64.000
ClothingStoresGloves	4	10	80.000
ClothingStoresGlovesLeather	4	8	72.000
ClothingStoresHeadwear	4	26	156.000
ClothingStoresHolsters	4	8	100.000
ClothingStoresJackets	4	12	56.000
ClothingStoresJacketsFormal	4	10	92.000
ClothingStoresJacketsLeather	4	8	120.000
ClothingStoresJeans	4	12	120.000
ClothingStoresJumpers	4	12	100.000
ClothingStoresOvershirts	4	5	70.000
ClothingStoresPants	4	17	140.000
ClothingStoresPantsFormal	4	14	116.000
ClothingStoresPantsLeather	4	8	80.000
ClothingStoresShirts	4	13	102.000
ClothingStoresShirtsFormal	4	12	96.000
ClothingStoresShoes	4	19	146.000
ClothingStoresShoesLeather	4	8	80.000
ClothingStoresSocks	4	13	190.000
ClothingStoresSport	4	17	142.000
ClothingStoresSummer	4	11	94.000
ClothingStoresUnderwearMan	4	13	100.000
ClothingStoresUnderwearWoman	4	31	228.000
ClothingStoresWoman	4	0	0.000
CobblerTools	4	10	250.000
ComicStoreCounter	4	39	137.900
ComicStoreDisplayBooks	4	6	90.000
ComicStoreDisplayComics	4	5	110.000
ComicStoreDisplayDice	4	11	224.000
ComicStoreMagazines	4	8	100.150
ComicStoreShelfComics	4	5	110.000
ComicStoreShelfFantasy	4	5	68.000
ComicStoreShelfGames	4	5	150.000
ComicStoreShelfSciFi	4	5	68.000
ConstructionWorkerOutfit	3	36	147.600
ConstructionWorkerTools	3	43	201.600
ControlRoomCounter	4	44	239.100
CortmanOfficeBooks	4	12	108.000
CortmanOfficeDesk	4	33	119.701
CortmanOfficeSidetable	4	3	80.000
CrateAnimalFeed	4	9	170.000
CrateAntiqueStove	1	1	200.000
CrateBakingSoda	4	5	110.000
CrateBaseballs	4	5	110.000
CrateBasketballs	4	5	110.000
CrateBatteries	4	5	110.000
CrateBeer	4	8	77.000
CrateBibles	4	9	113.000
CrateBlackBBQ	4	9	73.000
CrateBlacksmithing	4	53	246.650
CrateBlueComfyChair	1	1	200.000
CrateBluePlasticChairs	4	1	50.000
CrateBlueRattanChair	1	1	200.000
CrateBooks	4	190	387.400
CrateBooksSchool	4	64	172.000
CrateBootsArmy	4	4	100.000
CrateBootsArmyDesert	4	4	100.000
CrateBootsOld	4	4	100.000
CrateBrownComfyChair	1	1	200.000
CrateBrownLowTables	4	1	50.000
CrateBunsBurger	4	5	110.000
CrateBunsHotdog	4	5	110.000
CrateButter	4	5	110.000
CrateCameraFilm	4	5	110.000
CrateCamping	4	104	362.640
CrateCandyPackage	4	5	110.000
CrateCannedFood	4	40	100.100
CrateCannedFoodSpoiled	4	12	76.000
CrateCannedTomato	4	5	110.000
CrateCanning	4	9	124.000
CrateCarpentry	4	52	282.875
CrateCereal	4	5	110.000
CrateCharcoal	4	5	110.000
CrateChestFreezer	1	1	200.000
CrateChips	4	8	120.000
CrateChocolate	4	5	110.000
CrateChocolateChips	4	5	110.000
CrateChromeSinks	4	1	50.000
CrateCigarettes	4	4	60.000
CrateClayBags	4	5	110.000
CrateClayBricks	8	5	110.000
CrateClothesRandom	4	206	167.532
CrateCocoaPowder	4	5	110.000
CrateCoffee	4	5	110.000
CrateCoke	8	4	100.000
CrateComics	4	6	120.000
CrateCompactDiscs	4	5	110.000
CrateComputer	4	1	10.000
CrateConcrete	4	5	110.000
CrateCondiments	4	8	80.500
CrateConesIceCream	4	5	110.000
CrateCornflour	4	5	110.000
CrateCostume	4	63	147.522
CrateCrackers	4	5	110.000
CrateDarkBlueChairs	4	1	50.000
CrateDarkWoodenChairs	4	1	50.000
CrateDishes	4	10	118.000
CrateEggs	4	4	100.000
CrateElectronics	4	37	143.161
CrateEmptyBottles1	4	6	114.000
CrateEmptyBottles2	4	18	148.100
CrateEmptyMixed	4	15	131.000
CrateEmptyTinCans	4	5	110.000
CrateEspressoMachine	4	4	60.000
CrateFabric_Cotton	4	5	110.000
CrateFabric_DenimBlack	4	5	110.000
CrateFabric_DenimBlue	4	5	110.000
CrateFabric_DenimDarkBlue	4	5	110.000
CrateFancyBlackChairs	4	1	50.000
CrateFancyDarkTables	4	1	50.000
CrateFancyLowTables	4	1	50.000
CrateFancyToilets	4	1	50.000
CrateFancyWhiteChairs	4	1	50.000
CrateFarming	4	120	365.010
CrateFertilizer	4	5	110.000
CrateFishing	4	33	179.762
CrateFitnessWeights	4	3	80.000
CrateFlintNodules	8	5	110.000
CrateFlour	4	5	110.000
CrateFoldingChairs	4	1	40.000
CrateFootballs	4	5	110.000
CrateFootwearRandom	4	13	50.500
CrateFountainCups	4	10	220.000
CrateGardening	4	94	312.160
CrateGenerator	4	7	19.650
CrateGolfBalls	4	10	220.000
CrateGolfClubs	4	5	110.000
CrateGrahamCrackers	4	6	80.000
CrateGravelBags	4	5	110.000
CrateGravyMix	4	5	110.000
CrateGreenChairs	4	1	50.000
CrateGreenComfyChair	1	1	200.000
CrateGreenOven	1	1	200.000
CrateGreyChairs	4	1	50.000
CrateGreyComfyChair	1	1	200.000
CrateGreyOven	1	1	200.000
CrateGum	4	5	240.000
CrateHeavyChains	4	7	166.000
CrateHotsauce	4	5	110.000
CrateHumanitarian	4	42	35.824
CrateIndustrialDye	8	4	100.000
CrateIndustrialSinks	4	1	50.000
CrateInstruments	4	12	78.000
CrateLargeStone	4	5	110.000
CrateLeather	4	5	110.000
CrateLeatherLarge	4	5	110.000
CrateLightRoundTable	1	1	200.000
CrateLimestoneCrushed	4	5	110.000
CrateLinens	4	9	170.000
CrateLiquor	4	11	110.000
CrateLongStick	4	5	110.000
CrateLongTables	4	1	50.000
CrateLumber	6	5	110.000
CrateMacaroni	4	5	110.000
CrateMagazines	4	89	124.623
CrateMannequins	4	2	100.000
CrateMapleSyrup	4	5	110.000
CrateMaps	4	14	68.000
CrateMapsLarge	4	1	50.000
CrateMarinara	4	5	110.000
CrateMarshmallows	4	5	110.000
CrateMasonry	4	18	233.650
CrateMechanics	4	75	308.600
CrateMetalBars	6	5	110.000
CrateMetalLockers	4	1	50.000
CrateMetalPipes	6	5	110.000
CrateMetalwork	4	56	306.300
CrateModernOven	1	1	200.000
CrateNapkins	4	0	0.000
CrateNewspapers	4	5	110.000
CrateNewspapersNew	4	5	110.000
CrateOakRoundTable	1	1	200.000
CrateOfficeChairs	4	1	50.000
CrateOfficeSupplies	4	35	261.512
CrateOilOlive	4	5	110.000
CrateOilVegetable	4	5	110.000
CrateOrangeModernChair	1	2	400.000
CratePaint	8	15	200.000
CratePancakeMix	4	5	110.000
CratePaperBagJays	4	5	110.000
CratePaperBagSpiffos	4	5	110.000
CratePaperNapkins	4	5	110.000
CratePasta	4	5	110.000
CratePeanuts	4	5	110.000
CratePetSupplies	4	12	93.000
CratePhotos	4	5	110.000
CratePlaster	4	5	110.000
CratePlasticChairs	4	1	50.000
CratePlasticLowTables	4	1	50.000
CratePlasticTrays	4	5	110.000
CratePopcorn	4	5	110.000
CratePottery	4	11	133.650
CratePropane	4	5	110.000
CratePurpleRattanChair	1	1	200.000
CratePurpleWoodenChairs	4	1	50.000
CrateRandomJunk	1	353	272.798
CrateRedBBQ	4	12	76.000
CrateRedChairs	4	1	50.000
CrateRedOven	1	1	200.000
CrateRedWoodenChairs	4	1	50.000
CrateRice	4	5	110.000
CrateRiceVinegar	4	5	110.000
CrateRoundTable	1	1	200.000
CrateSalonSupplies	4	12	180.000
CrateSandBags	4	5	110.000
CrateSeaweed	4	5	110.000
CrateSheetMetal	6	5	110.000
CrateSkeletonDisplay	1	1	200.000
CrateSmallTables	4	1	50.000
CrateSoccerBalls	4	5	110.000
CrateSodaBottles	4	6	120.000
CrateSodaCans	4	6	90.000
CrateSoysauce	4	5	110.000
CrateSpiffoMerch	1	16	130.002
CrateSports	4	56	420.650
CrateStoneBlocks	8	5	110.000
CrateStones	8	5	110.000
CrateSugar	4	5	110.000
CrateSugarBrown	4	5	110.000
CrateSunflowerSeeds	4	5	110.000
CrateTV	1	1	200.000
CrateTVWide	1	1	200.000
CrateTacoShells	4	5	110.000
CrateTailoring	4	40	283.050
CrateTea	4	5	110.000
CrateToiletPaper	4	5	110.000
CrateTomatoPaste	4	5	110.000
CrateTools	4	71	194.805
CrateToolsOld	4	60	260.105
CrateTortillaChips	4	5	110.000
CrateToys	4	33	160.200
CrateVHSTapes	4	6	120.000
CrateWallFinish	4	29	70.000
CrateWallets	4	8	120.000
CrateWallpaper	4	12	210.000
CrateWaterBottle	8	4	100.000
CrateWaterDispenserBottle	4	1	4.000
CrateWhiteComfyChair	1	1	200.000
CrateWhiteSimpleChairs	4	1	50.000
CrateWhiteSinks	4	1	50.000
CrateWhiteWoodenChairs	4	1	50.000
CrateWine	4	9	122.000
CrateWoodenChairs	4	1	50.000
CrateWoodenStools	4	1	50.000
CrateYeast	4	5	110.000
CrateYellowModernChair	1	1	200.000
CrepeKitchenBaking	4	20	158.001
CrepeKitchenFridge	4	24	130.000
CrepeKitchenSauce	4	11	80.001
CultistClothing	4	32	137.000
CyberCafeDesk	4	63	288.360
CyberCafeFilingCabinet	4	21	307.600
DaycareCounter	4	52	198.031
DaycareDesk	4	54	190.522
DaycareShelves	4	53	201.012
DeepFryKitchenFreezer	4	8	78.000
DeepFryKitchenFridge	4	7	46.000
DepartmentStoreJewelry	4	19	122.000
DepartmentStoreWatches	4	12	87.000
DerelictHouseCrime	1	55	108.741
DerelictHouseDrugs	1	30	193.100
DerelictHouseJunk	1	38	128.900
DerelictHouseParty	1	22	108.910
DerelictHouseSquatter	1	55	79.398
DerelictHouseStove	1	5	13.000
DeskGeneric	4	9	31.100
DinerBackRoomCounter	4	35	303.010
DinerKitchenFreezer	4	12	74.000
DinerKitchenFridge	4	17	98.000
DishCabinetGeneric	4	12	390.000
DishCabinetLiquor	4	15	51.000
DishCabinetVIPLounge	4	7	74.000
DishwasherGeneric	4	20	530.000
DoctorOutfit	4	19	89.500
DoctorTools	4	29	311.500
DogFoodFactoryBags	4	5	110.000
DogFoodFactoryBones	8	5	150.000
DogFoodFactoryCans	4	5	110.000
DogFoodFactoryEquipment	4	5	48.000
DresserGeneric	4	103	91.882
DrugLabGuns	2	50	282.801
DrugLabMoney	4	47	408.300
DrugLabOutfit	4	40	216.611
DrugLabSupplies	4	54	368.501
DrugShackDrugs	4	59	396.020
DrugShackMisc	4	48	177.721
DrugShackTools	4	53	240.120
DrugShackWeapons	4	47	204.161
DryerEmpty	1	7	25.000
ElectricianOutfit	3	40	167.600
ElectricianTools	3	46	236.600
ElectronicStoreAppliances	1	10	230.000
ElectronicStoreCases	4	5	110.000
ElectronicStoreComputers	1	1	20.000
ElectronicStoreHAMRadio	1	1	20.000
ElectronicStoreLights	4	17	126.000
ElectronicStoreMagazines	4	17	140.000
ElectronicStoreMisc	4	15	157.000
ElectronicStoreMusic	4	9	148.000
ElectronicStorePhones	4	8	240.000
Empty	1	0	0.000
EngineerTools	4	51	331.000
FactoryLockers	4	55	214.800
FarmerOutfit	3	41	157.500
FarmerTools	3	55	256.000
FilingCabinetGeneric	4	22	340.510
FireDeptLockers	4	55	167.801
FireStorageMechanics	4	42	228.600
FireStorageOutfit	4	12	119.000
FireStorageTools	4	27	168.645
FirearmWeapons	2	34	114.000
FirearmWeapons_Late	4	61	166.000
FirearmWeapons_Mid	3	50	146.000
FiremanOutfit	3	13	87.000
FiremanTools	3	30	175.145
FishChipsKitchenButcher	4	20	137.200
FishChipsKitchenFreezer	4	6	90.000
FishChipsKitchenFridge	4	7	78.000
FishChipsKitchenSauce	4	10	101.000
FishermanOutfit	3	27	71.202
FishermanTools	3	30	148.100
FishingLockers	4	77	513.870
FishingStoreBait	4	5	110.000
FishingStoreGear	4	32	130.710
FitnessTrainer	4	40	84.100
FoodGourmet	4	54	412.600
ForestFireTools	4	11	94.000
FossoilCounterCleaning	4	15	76.600
FreezerDrugLab	4	4	60.000
FreezerFarmStorage	2	14	188.000
FreezerFrozenFood	2	10	70.000
FreezerGarage	2	26	142.000
FreezerGeneric	2	35	171.100
FreezerHoarder	2	35	395.000
FreezerHunter	2	12	260.000
FreezerIceCream	2	8	92.000
FreezerRich	3	35	235.100
FreezerTrailerPark	1	29	141.100
FridgeBeer	2	10	120.200
FridgeBottles	2	9	128.000
FridgeBreakRoom	2	36	157.101
FridgeDrugLab	2	14	82.001
FridgeFarmStorage	2	16	303.000
FridgeGarage	2	13	96.000
FridgeGeneric	2	92	213.250
FridgeHoarder	4	86	647.000
FridgeHunter	2	11	278.000
FridgeMedical	2	8	120.000
FridgeOffice	2	28	138.101
FridgeOther	2	16	200.000
FridgeRich	3	103	354.460
FridgeSnacks	4	19	110.000
FridgeSoda	4	10	66.000
FridgeTrailerPark	1	64	99.710
FridgeVIPLounge	4	10	166.000
FridgeWater	2	5	110.000
FryFactoryPotatoes	4	4	60.000
FurnitureFactoryTools	4	19	132.100
GarageCarpentry	4	49	232.820
GarageFirearms	4	104	238.190
GarageMechanics	4	61	243.600
GarageMetalwork	4	51	220.270
GarageTools	4	70	292.205
GardenStoreMisc	4	73	289.000
GardenStoreTools	4	20	125.010
GardenerOutfit	3	24	95.000
GardenerTools	3	45	205.500
Gas2GoCounterCleaning	4	14	62.600
GasStorageCombo	4	49	186.100
GasStorageMechanics	4	31	129.550
GasStoreCounterCleaning	4	12	54.600
GasStoreEmergency	4	25	214.000
GasStoreSpecial	4	41	209.210
GasStoreToiletries	4	12	170.000
GeneratorRoom	4	48	299.100
GiftStoreCards	4	9	100.000
GiftStoreFancy	4	52	216.400
GiftStoreToys	4	46	270.012
Gifts	4	58	255.310
GigamartBBQ	4	25	217.000
GigamartBakingMisc	4	17	173.020
GigamartBathing	4	15	190.000
GigamartBedding	4	17	274.000
GigamartBottles	4	11	152.000
GigamartBreakfast	4	17	246.000
GigamartCandy	4	31	214.000
GigamartCannedFood	4	36	90.900
GigamartCleaning	4	16	230.000
GigamartCosmetics	4	12	140.000
GigamartCrisps	4	13	170.000
GigamartDryGoods	4	17	144.060
GigamartFarming	4	92	391.510
GigamartHouseElectronics	4	28	266.500
GigamartHousewares	4	20	236.000
GigamartLightbulb	4	17	126.000
GigamartLiterature	4	19	166.000
GigamartPaper	4	8	120.000
GigamartPots	4	25	210.000
GigamartSauce	4	18	165.000
GigamartSchool	4	32	292.100
GigamartSpices	4	22	274.000
GigamartToiletries	4	14	190.000
GigamartTools	4	72	357.470
GigamartToys	4	38	247.612
GlassWorkshopTools	4	16	269.600
GolfFactoryTools	4	33	224.100
GolfLockers	4	52	274.900
GolfStorage	4	25	397.000
GolfStoreAccessories	4	14	332.000
GolfStoreBags	4	5	110.000
GolfStoreClothingRack	4	6	110.000
GolfStoreLiterature	4	5	110.000
GrillAcessories	4	16	177.000
GrillStoreBlackBBQ	1	1	200.000
GrillStoreRedBBQ	1	1	200.000
GroceryStandFruits1	4	10	132.000
GroceryStandFruits2	4	10	132.000
GroceryStandFruits3	4	10	132.000
GroceryStandLettuce	4	5	110.000
GroceryStandVegetables1	4	10	150.000
GroceryStandVegetables2	4	10	150.000
GroceryStandVegetables3	4	10	150.000
GroceryStandVegetables4	4	10	150.000
GroceryStandVegetables5	4	10	150.000
GroceryStorageCrate1	4	101	83.748
GroceryStorageCrate2	4	10	50.500
GroceryStorageCrate3	4	8	40.400
GunStoreAccessories	4	25	176.500
GunStoreAmmunition	4	30	310.000
GunStoreBodyArmor	4	4	100.000
GunStoreCases	4	7	170.000
GunStoreCounter	4	0	0.000
GunStoreDisplayCase	4	0	0.000
GunStoreGuns	4	35	180.500
GunStoreKnives	4	24	221.600
GunStoreLiterature	4	63	372.000
GunStoreMagazineRack	4	33	134.000
GunStoreMagsAmmo	4	34	360.500
GunStorePistols	4	21	126.500
GunStoreRifles	4	20	103.500
GunStoreShelf	4	0	0.000
GunStoreShotguns	4	15	83.500
GymLaundry	4	10	77.000
GymLockers	4	62	114.020
GymMats	4	4	60.000
GymSweatbands	4	6	90.000
GymTowels	4	5	110.000
GymWeights	4	5	68.000
Hiker	4	77	332.150
HoarderKitchenFood	4	27	169.000
Hobbies	4	108	610.581
HolidayStuff	4	77	542.032
HomeCinemaFilm	4	5	110.000
HomeCinemaLiterature	4	5	110.000
Homesteading	4	141	648.135
HospitalLockers	4	69	128.351
HospitalMagazineRack	4	4	60.000
HospitalRoomCleaning	4	9	64.000
HospitalRoomCounter	4	10	29.650
HospitalRoomFridge	4	25	57.710
HospitalRoomShelves	4	32	277.350
HospitalRoomWardrobe	2	89	117.370
HotdogStandDrinks	4	17	157.100
HotdogStandToppings	4	17	125.000
Hunter	4	79	329.200
HuntingLockers	4	104	356.181
ImprovisedCrafts	4	21	191.000
ItalianKitchenBaking	4	18	168.000
ItalianKitchenButcher	4	30	175.200
ItalianKitchenFreezer	4	6	32.000
ItalianKitchenFridge	4	30	104.000
ItalianKitchenSauce	4	18	126.000
JackiesDesk	4	18	284.000
JanitorChemicals	4	8	120.000
JanitorCleaning	4	17	173.000
JanitorMisc	4	63	246.843
JanitorTools	4	50	312.600
JaysDiningCounter	4	12	180.000
JaysKitchenBags	4	9	170.000
JaysKitchenBaking	4	15	128.000
